country,continent,year,lifeExp,pop,gdpPercap,fert,mort
Afghanistan,Asia,1952,28.801,8425333,779.4453145,7.67,NA
Afghanistan,Asia,1957,30.332,9240934,820.8530296,7.67,NA
Afghanistan,Asia,1962,31.997,10267083,853.10071,7.67,236.3
Afghanistan,Asia,1967,34.02,11537966,836.1971382,7.67,217
Afghanistan,Asia,1972,36.088,13079460,739.9811058,7.67,198.2
Afghanistan,Asia,1977,38.438,14880372,786.11336,7.67,178.7
Afghanistan,Asia,1982,39.854,12881816,978.0114388,7.67,157.5
Afghanistan,Asia,1987,40.822,13867957,852.3959448,7.68,135.7
Afghanistan,Asia,1992,41.674,16317921,649.3413952,7.73,114.4
Afghanistan,Asia,1997,41.763,22227415,635.341351,7.87,100.7
Afghanistan,Asia,2002,42.129,25268405,726.7340548,7.48,91.2
Afghanistan,Asia,2007,43.828,31889923,974.5803384,6.46,80.4
Albania,Europe,1952,55.23,1282697,1601.056136,6.07,NA
Albania,Europe,1957,59.28,1476505,1942.284244,6.39,NA
Albania,Europe,1962,64.82,1728137,2312.888958,5.96,106.5
Albania,Europe,1967,66.22,1984060,2760.196931,5.38,86.8
Albania,Europe,1972,67.69,2263554,3313.422188,4.81,71
Albania,Europe,1977,68.93,2509048,3533.00391,4.09,58.6
Albania,Europe,1982,70.42,2780097,3630.880722,3.46,56.1
Albania,Europe,1987,72,3075321,3738.932735,3.13,40.8
Albania,Europe,1992,71.581,3326498,2497.437901,2.87,32.5
Albania,Europe,1997,72.95,3428038,3193.054604,2.61,26.8
Albania,Europe,2002,75.651,3508512,4604.211737,2.2,21
Albania,Europe,2007,76.423,3600523,5937.029526,1.8,16.7
Algeria,Africa,1952,43.077,9279525,2449.008185,7.65,NA
Algeria,Africa,1957,45.685,10270856,3013.976023,7.65,149
Algeria,Africa,1962,48.303,11000948,2550.81688,7.65,148.2
Algeria,Africa,1967,51.407,12760499,3246.991771,7.66,149.2
Algeria,Africa,1972,54.518,14760787,4182.663766,7.59,140.6
Algeria,Africa,1977,58.014,17152804,4910.416756,7.24,119
Algeria,Africa,1982,61.368,20033753,5745.160213,6.58,84.6
Algeria,Africa,1987,65.799,23254956,5681.358539,5.51,46.3
Algeria,Africa,1992,67.744,26298373,5023.216647,4.24,38.1
Algeria,Africa,1997,69.152,29072015,4797.295051,2.99,35.1
Algeria,Africa,2002,70.994,31287142,5288.040382,2.41,32.4
Algeria,Africa,2007,72.301,33333216,6223.367465,2.66,26.4
Angola,Africa,1952,30.015,4232095,3520.610273,6.98,NA
Angola,Africa,1957,31.999,4561361,3827.940465,7.19,NA
Angola,Africa,1962,34,4826015,4269.276742,7.39,NA
Angola,Africa,1967,35.985,5247469,5522.776375,7.4,NA
Angola,Africa,1972,37.928,5894858,5473.288005,7.23,NA
Angola,Africa,1977,39.483,6162675,3008.647355,7.19,NA
Angola,Africa,1982,39.942,7016384,2756.953672,7.2,136.8
Angola,Africa,1987,39.906,7874230,2430.208311,7.2,134.1
Angola,Africa,1992,40.647,8735988,2627.845685,7.12,133.5
Angola,Africa,1997,40.963,9875024,2277.140884,6.95,131.5
Angola,Africa,2002,41.003,10866106,2773.287312,6.78,125.5
Angola,Africa,2007,42.731,12420476,4797.231267,6.52,117.1
Argentina,Americas,1952,62.485,17876956,5911.315053,3.16,65
Argentina,Americas,1957,64.399,19610538,6856.856212,3.13,68
Argentina,Americas,1962,65.142,21283783,7133.166023,3.09,59.594372623574
Argentina,Americas,1967,65.634,22934225,8052.953021,3.05,58.731844362745
Argentina,Americas,1972,67.065,24779799,9443.038526,3.15,58
Argentina,Americas,1977,68.481,26983828,10079.02674,3.39,47.2
Argentina,Americas,1982,69.942,29341374,8997.897412,3.21,32.8
Argentina,Americas,1987,70.774,31620918,9139.671389,3.06,27.1
Argentina,Americas,1992,71.868,33958947,9308.41871,2.92,22.8
Argentina,Americas,1997,73.275,36203463,10967.28195,2.66,19.6
Argentina,Americas,2002,74.34,38331121,8797.640716,2.38,17.1
Argentina,Americas,2007,75.32,40301927,12779.37964,2.25,14.1
Australia,Oceania,1952,69.12,8691212,10039.59564,3.18,24.1
Australia,Oceania,1957,70.33,9712569,10949.64959,3.42,21.6
Australia,Oceania,1962,70.93,10794968,12217.22686,3.43,19.5
Australia,Oceania,1967,71.1,11872264,14526.12465,2.85,18.3
Australia,Oceania,1972,71.93,13177000,16788.62948,2.74,16.8
Australia,Oceania,1977,73.49,14074100,18334.19751,2.01,12.7
Australia,Oceania,1982,74.74,15184200,19477.00928,1.93,10.1
Australia,Oceania,1987,76.32,16257249,21888.88903,1.85,8.7
Australia,Oceania,1992,77.56,17481977,23424.76683,1.89,6.7
Australia,Oceania,1997,78.83,18565243,26997.93657,1.78,5.4
Australia,Oceania,2002,80.37,19546792,30687.75473,1.76,5
Australia,Oceania,2007,81.235,20434176,34435.36744,1.92,4.5
Austria,Europe,1952,66.8,6927772,6137.076492,2.06,52
Austria,Europe,1957,67.48,6965860,8842.59803,2.57,43.6
Austria,Europe,1962,69.54,7129864,10750.72111,2.8,32.9
Austria,Europe,1967,70.14,7376998,12834.6024,2.62,26.4
Austria,Europe,1972,70.63,7544201,16661.6256,2.09,24.1
Austria,Europe,1977,72.17,7568430,19749.4223,1.63,16.6
Austria,Europe,1982,73.18,7574613,21597.08362,1.66,12.6
Austria,Europe,1987,74.94,7578903,23687.82607,1.43,9.4
Austria,Europe,1992,76.04,7914969,27042.01868,1.51,7.1
Austria,Europe,1997,77.51,8069876,29095.92066,1.39,5
Austria,Europe,2002,78.98,8148312,32417.60769,1.39,4.4
Austria,Europe,2007,79.829,8199783,36126.4927,1.38,3.8
Bahrain,Asia,1952,50.939,120447,9867.084765,6.97,NA
Bahrain,Asia,1957,53.832,138655,11635.79945,6.97,172.5
Bahrain,Asia,1962,56.923,171863,12753.27514,7.17,114.1
Bahrain,Asia,1967,59.923,202182,14804.6727,7,74.5
Bahrain,Asia,1972,63.3,230800,18268.65839,6.09,48.1
Bahrain,Asia,1977,65.593,297410,19340.10196,5.28,32.6
Bahrain,Asia,1982,69.052,377967,19211.14731,4.69,24
Bahrain,Asia,1987,70.75,454612,18524.02406,4.13,20.1
Bahrain,Asia,1992,72.601,529491,19035.57917,3.47,18.7
Bahrain,Asia,1997,73.925,598561,20292.01679,2.93,13.1
Bahrain,Asia,2002,74.795,656397,23403.55927,2.67,10.2
Bahrain,Asia,2007,75.635,708573,29796.04834,2.29,8.5
Bangladesh,Asia,1952,37.484,46886859,684.2441716,6.33,225.4
Bangladesh,Asia,1957,39.348,51365468,661.6374577,6.6,191.8
Bangladesh,Asia,1962,41.216,56839289,686.3415538,6.79,167.6
Bangladesh,Asia,1967,43.453,62821884,721.1860862,6.92,153
Bangladesh,Asia,1972,45.252,70759295,630.2336265,6.93,148.2
Bangladesh,Asia,1977,46.923,80428306,659.8772322,6.68,141.4
Bangladesh,Asia,1982,50.009,93074406,676.9818656,6.06,127.8
Bangladesh,Asia,1987,52.819,103764241,751.9794035,5.13,110.8
Bangladesh,Asia,1992,56.018,113704579,837.8101643,4.2,92.1
Bangladesh,Asia,1997,59.412,123315288,972.7700352,3.47,74
Bangladesh,Asia,2002,62.013,135656790,1136.39043,2.91,58.6
Bangladesh,Asia,2007,64.062,150448339,1391.253792,2.44,45.9
Belgium,Europe,1952,68,8730405,8343.105127,2.33,45
Belgium,Europe,1957,69.24,8989111,9714.960623,2.49,35
Belgium,Europe,1962,70.25,9218400,10991.20676,2.63,27
Belgium,Europe,1967,70.94,9556500,13149.04119,2.43,22.5
Belgium,Europe,1972,71.44,9709100,16672.14356,2.05,18.7
Belgium,Europe,1977,72.8,9821800,19117.97448,1.73,14.1
Belgium,Europe,1982,73.93,9856303,20979.84589,1.59,11.2
Belgium,Europe,1987,75.35,9870200,22525.56308,1.56,9.2
Belgium,Europe,1992,76.46,10045622,25575.57069,1.6,7.6
Belgium,Europe,1997,77.53,10199787,27561.19663,1.61,5.5
Belgium,Europe,2002,78.32,10311970,30485.88375,1.68,4.4
Belgium,Europe,2007,79.441,10392226,33692.60508,1.8,3.9
Benin,Africa,1952,38.223,1738315,1062.7522,5.83,204.7
Benin,Africa,1957,40.358,1925173,959.6010805,6.11,194.6
Benin,Africa,1962,42.618,2151895,949.4990641,6.39,180.6
Benin,Africa,1967,44.885,2427334,1035.831411,6.63,164
Benin,Africa,1972,47.014,2761407,1085.796879,6.82,152.5
Benin,Africa,1977,49.19,3168267,1029.161251,6.98,136.7
Benin,Africa,1982,50.904,3641603,1277.897616,7.02,124.7
Benin,Africa,1987,52.337,4243788,1225.85601,6.9,114.8
Benin,Africa,1992,53.919,4981671,1191.207681,6.6,103.2
Benin,Africa,1997,54.777,6066080,1232.975292,6.21,94.2
Benin,Africa,2002,54.406,7026113,1372.877931,5.82,85.2
Benin,Africa,2007,56.728,8078314,1441.284873,5.37,75.2
Bolivia,Americas,1952,40.414,2883315,2677.326347,6.75,NA
Bolivia,Americas,1957,41.89,3211738,2127.686326,6.75,NA
Bolivia,Americas,1962,43.428,3593918,2180.972546,6.65,167.7
Bolivia,Americas,1967,45.032,4040665,2586.886053,6.59,153.6
Bolivia,Americas,1972,46.714,4565872,2980.331339,6.5,138
Bolivia,Americas,1977,50.023,5079716,3548.097832,5.9,121.3
Bolivia,Americas,1982,53.859,5642224,3156.510452,5.34,107.2
Bolivia,Americas,1987,57.251,6156369,2753.69149,5.03,94
Bolivia,Americas,1992,59.957,6893451,2961.699694,4.81,80.2
Bolivia,Americas,1997,62.05,7693188,3326.143191,4.39,66.8
Bolivia,Americas,2002,63.883,8445134,3413.26269,3.98,53.7
Bolivia,Americas,2007,65.554,9119152,3822.137084,3.55,42.2
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,4.88,NA
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,4.34,NA
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,3.85,NA
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423,3.24,NA
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,2.68,NA
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,2.27,NA
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,2.02,27.2
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,1.89,20.4
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,1.59,14.7
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,1.5,10.1
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,1.28,7.2
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,1.21,7.1
Botswana,Africa,1952,47.622,442308,851.2411407,6.49,NA
Botswana,Africa,1957,49.618,474639,918.2325349,6.57,126.4
Botswana,Africa,1962,51.52,512764,983.6539764,6.65,109
Botswana,Africa,1967,53.298,553541,1214.709294,6.7,94.1
Botswana,Africa,1972,56.024,619351,2263.611114,6.58,79.1
Botswana,Africa,1977,59.319,781472,3214.857818,6.4,63.2
Botswana,Africa,1982,61.484,970347,4551.14215,6.01,50
Botswana,Africa,1987,63.622,1151184,6205.88385,5.21,42
Botswana,Africa,1992,62.745,1342614,7954.111645,4.39,44.2
Botswana,Africa,1997,52.556,1536536,8647.142313,3.75,51.3
Botswana,Africa,2002,46.634,1630347,11003.60508,3.23,50.3
Botswana,Africa,2007,50.728,1639131,12569.85177,2.91,45.5
Brazil,Americas,1952,50.917,56602560,2108.944355,6.15,NA
Brazil,Americas,1957,53.285,65551171,2487.365989,6.18,140.1
Brazil,Americas,1962,55.665,76039390,3336.585802,6.14,122.9
Brazil,Americas,1967,57.632,88049823,3429.864357,5.49,109.8
Brazil,Americas,1972,59.504,100840058,4985.711467,4.78,97.4
Brazil,Americas,1977,61.489,114313951,6660.118654,4.34,84.7
Brazil,Americas,1982,63.336,128962939,7030.835878,3.85,69.7
Brazil,Americas,1987,65.205,142938076,7807.095818,3.17,56.8
Brazil,Americas,1992,67.057,155975974,6950.283021,2.64,46.8
Brazil,Americas,1997,69.388,168546719,7957.980824,2.45,34.8
Brazil,Americas,2002,71.006,179914212,8131.212843,2.26,24.3
Brazil,Americas,2007,72.39,190010647,9065.800825,1.94,17.1
Bulgaria,Europe,1952,59.6,7274900,2444.286648,2.55,98
Bulgaria,Europe,1957,66.61,7651254,3008.670727,2.31,66
Bulgaria,Europe,1962,69.51,8012946,4254.337839,2.21,NA
Bulgaria,Europe,1967,70.42,8310226,5577.0028,2.14,38.4
Bulgaria,Europe,1972,70.9,8576200,6597.494398,2.16,31.6
Bulgaria,Europe,1977,70.81,8797022,7612.240438,2.18,28.1
Bulgaria,Europe,1982,71.08,8892098,8224.191647,2.06,22.5
Bulgaria,Europe,1987,71.34,8971958,8239.854824,1.94,18.2
Bulgaria,Europe,1992,71.19,8658506,6302.623438,1.6,19.1
Bulgaria,Europe,1997,70.32,8066057,5970.38876,1.23,19.4
Bulgaria,Europe,2002,72.14,7661799,7696.777725,1.22,16.3
Bulgaria,Europe,2007,73.005,7322858,10680.79282,1.4,12.3
Burkina Faso,Africa,1952,31.975,4469979,543.2552413,6.09,177.1
Burkina Faso,Africa,1957,34.906,4713416,617.1834648,6.23,168
Burkina Faso,Africa,1962,37.814,4919632,722.5120206,6.34,157.5
Burkina Faso,Africa,1967,40.697,5127935,794.8265597,6.53,150.9
Burkina Faso,Africa,1972,43.591,5433886,854.7359763,6.7,147.1
Burkina Faso,Africa,1977,46.137,5889574,743.3870368,6.98,127.4
Burkina Faso,Africa,1982,48.122,6634596,807.1985855,7.17,113.9
Burkina Faso,Africa,1987,49.557,7586551,912.0631417,7.09,105.3
Burkina Faso,Africa,1992,50.26,8878303,931.7527731,6.95,102.4
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,6.75,99.4
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,6.47,93.4
Burkina Faso,Africa,2007,52.295,14326203,1217.032994,6.12,79.2
Burundi,Africa,1952,39.031,2445618,339.2964587,6.8,NA
Burundi,Africa,1957,40.533,2667518,379.5646281,6.85,NA
Burundi,Africa,1962,42.045,2961915,355.2032273,7.05,144.6
Burundi,Africa,1967,43.548,3330989,412.9775136,7.25,145.3
Burundi,Africa,1972,44.057,3529983,464.0995039,7.35,146.2
Burundi,Africa,1977,45.91,3834415,556.1032651,7.45,143
Burundi,Africa,1982,47.471,4580410,559.603231,7.45,120.3
Burundi,Africa,1987,48.211,5126023,621.8188189,7.57,103.3
Burundi,Africa,1992,44.736,5809236,631.6998778,7.47,104.8
Burundi,Africa,1997,45.326,6121610,463.1151478,7.22,100
Burundi,Africa,2002,47.36,7021078,446.4035126,6.94,88.6
Burundi,Africa,2007,49.58,8390505,430.0706916,6.57,72.7
Cambodia,Asia,1952,39.417,4693836,368.4692856,6.95,NA
Cambodia,Asia,1957,41.366,5322536,434.0383364,6.96,NA
Cambodia,Asia,1962,43.415,6083619,496.9136476,6.96,NA
Cambodia,Asia,1967,45.415,6960067,523.4323142,6.75,NA
Cambodia,Asia,1972,40.317,7450606,421.6240257,6.17,NA
Cambodia,Asia,1977,31.22,6978607,524.9721832,5.44,155.4
Cambodia,Asia,1982,50.957,7272485,624.4754784,6.01,98.1
Cambodia,Asia,1987,53.914,8371791,683.8955732,6.07,86
Cambodia,Asia,1992,55.803,10150094,682.3031755,5.24,85.7
Cambodia,Asia,1997,56.534,11782962,734.28517,4.24,88.2
Cambodia,Asia,2002,56.752,12926707,896.2260153,3.5,68.3
Cambodia,Asia,2007,59.723,14131858,1713.778686,3.1,46.5
Cameroon,Africa,1952,38.523,5009067,1172.667655,5.49,NA
Cameroon,Africa,1957,40.428,5359923,1313.048099,5.51,184.6
Cameroon,Africa,1962,42.643,5793633,1399.607441,5.77,160.5
Cameroon,Africa,1967,44.799,6335506,1508.453148,6.06,143.1
Cameroon,Africa,1972,47.049,7021028,1684.146528,6.29,118.2
Cameroon,Africa,1977,49.355,7959865,1783.432873,6.47,113.9
Cameroon,Africa,1982,52.961,9250831,2367.983282,6.68,103.1
Cameroon,Africa,1987,54.985,10780667,2602.664206,6.63,87.2
Cameroon,Africa,1992,54.314,12467171,1793.163278,6.26,88.2
Cameroon,Africa,1997,52.199,14195809,1694.337469,5.82,94.7
Cameroon,Africa,2002,49.856,15929988,1934.011449,5.52,86.2
Cameroon,Africa,2007,50.43,17696293,2042.09524,5.24,73.1
Canada,Americas,1952,68.75,14785584,11367.16112,3.62,37.2
Canada,Americas,1957,69.96,17010154,12489.95006,3.93,30.5
Canada,Americas,1962,71.3,18985849,13462.48555,3.77,26
Canada,Americas,1967,72.13,20819767,16076.58803,2.6,21.2
Canada,Americas,1972,72.88,22284500,18970.57086,1.97,16.7
Canada,Americas,1977,74.21,23796400,22090.88306,1.75,12.5
Canada,Americas,1982,75.76,25201900,22898.79214,1.64,9.2
Canada,Americas,1987,76.86,26549700,26626.51503,1.58,7.5
Canada,Americas,1992,77.95,28523502,26342.88426,1.71,6.4
Canada,Americas,1997,78.61,30305843,28954.92589,1.57,5.4
Canada,Americas,2002,79.77,31902268,33328.96507,1.51,5.3
Canada,Americas,2007,80.653,33390141,36319.23501,1.66,5.1
Central African Republic,Africa,1952,35.463,1291695,1071.310713,5.49,NA
Central African Republic,Africa,1957,37.464,1392284,1190.844328,5.73,NA
Central African Republic,Africa,1962,39.475,1523478,1193.068753,5.89,160.4
Central African Republic,Africa,1967,41.478,1733638,1136.056615,5.95,145.6
Central African Republic,Africa,1972,43.457,1927260,1070.013275,5.95,132.1
Central African Republic,Africa,1977,46.775,2167533,1109.374338,5.95,122.6
Central African Republic,Africa,1982,48.295,2476971,956.7529907,5.96,116.7
Central African Republic,Africa,1987,50.485,2840009,844.8763504,5.9,115.5
Central African Republic,Africa,1992,49.396,3265124,747.9055252,5.69,115.1
Central African Republic,Africa,1997,46.066,3696513,740.5063317,5.55,115.1
Central African Republic,Africa,2002,43.308,4048013,738.6906068,5.33,112.1
Central African Republic,Africa,2007,44.741,4369038,706.016537,4.9,106.9
Chad,Africa,1952,38.092,2682462,1178.665927,6.09,NA
Chad,Africa,1957,39.881,2894855,1308.495577,6.19,NA
Chad,Africa,1962,41.716,3150417,1389.817618,6.29,NA
Chad,Africa,1967,43.601,3495967,1196.810565,6.39,NA
Chad,Africa,1972,45.569,3899068,1104.103987,6.64,131.8
Chad,Africa,1977,47.383,4388260,1133.98495,6.86,128.8
Chad,Africa,1982,49.517,4875118,797.9081006,7.02,124.8
Chad,Africa,1987,51.051,5498955,952.386129,7.2,119.3
Chad,Africa,1992,51.724,6429417,1058.0643,7.38,113.7
Chad,Africa,1997,51.573,7562011,1004.961353,7.42,109.1
Chad,Africa,2002,50.525,8835739,1156.18186,7.27,103.4
Chad,Africa,2007,50.651,10238807,1704.063724,6.9,98.1
Chile,Americas,1952,54.745,6377619,3939.978789,4.88,138.2
Chile,Americas,1957,56.074,7048426,4315.622723,5.49,117.1
Chile,Americas,1962,57.924,7961258,4519.094331,5.46,116.7
Chile,Americas,1967,60.523,8858908,5106.654313,4.59,79
Chile,Americas,1972,63.441,9717524,5494.024437,3.68,65.7
Chile,Americas,1977,67.052,10599793,4756.763836,2.89,41.7
Chile,Americas,1982,70.565,11487112,5095.665738,2.65,22.9
Chile,Americas,1987,72.492,12463354,5547.063754,2.65,18.4
Chile,Americas,1992,74.126,13572994,7596.125964,2.56,13.7
Chile,Americas,1997,75.816,14599929,10118.05318,2.25,10.2
Chile,Americas,2002,77.86,15497046,10778.78385,2.01,8.3
Chile,Americas,2007,78.553,16284741,13171.63885,1.9,7.6
China,Asia,1952,44,556263527,400.448611,5.97,NA
China,Asia,1957,50.54896,637408000,575.9870009,6.21,NA
China,Asia,1962,44.50136,665770000,487.6740183,5.97,110
China,Asia,1967,58.38112,754550000,612.7056934,5.25,NA
China,Asia,1972,63.11888,862030000,676.9000921,4.92,73.3
China,Asia,1977,63.96736,943455000,741.2374699,2.87,55.8
China,Asia,1982,65.525,1000281000,962.4213805,2.62,44.6
China,Asia,1987,67.274,1084035000,1378.904018,2.68,42
China,Asia,1992,68.69,1164970000,1655.784158,2.11,41.2
China,Asia,1997,70.426,1230075000,2289.234136,1.52,35
China,Asia,2002,72.028,1280400000,3119.280896,1.47,26.2
China,Asia,2007,72.961,1318683096,4959.114854,1.53,17.2
Colombia,Americas,1952,50.643,12350771,2144.115096,6.76,111
Colombia,Americas,1957,55.118,14485993,2323.805581,6.78,100
Colombia,Americas,1962,57.863,17009885,2492.351109,6.78,85.9
Colombia,Americas,1967,59.963,19764027,2678.729839,6.25,77.1
Colombia,Americas,1972,61.623,22542890,3264.660041,5.15,65.9
Colombia,Americas,1977,63.837,25094412,3815.80787,4.37,52.8
Colombia,Americas,1982,66.653,27764644,4397.575659,3.74,39.7
Colombia,Americas,1987,67.768,30964245,4903.2191,3.28,31.5
Colombia,Americas,1992,68.421,34202721,5444.648617,3.01,27.4
Colombia,Americas,1997,70.313,37657830,6117.361746,2.78,23.4
Colombia,Americas,2002,71.682,41008227,5755.259962,2.57,20
Colombia,Americas,2007,72.889,44227550,7006.580419,2.45,17.3
Comoros,Africa,1952,40.715,153936,1102.990936,5.93,NA
Comoros,Africa,1957,42.46,170928,1211.148548,6.56,NA
Comoros,Africa,1962,44.467,191689,1406.648278,6.9,NA
Comoros,Africa,1967,46.472,217378,1876.029643,7.04,NA
Comoros,Africa,1972,48.944,250027,1937.577675,7.06,145.1
Comoros,Africa,1977,50.939,304739,1172.603047,7.08,129.6
Comoros,Africa,1982,52.933,348643,1267.100083,7.03,111.9
Comoros,Africa,1987,54.926,395114,1315.980812,6.14,95.8
Comoros,Africa,1992,57.939,454429,1246.90737,5.36,82.9
Comoros,Africa,1997,60.66,527982,1173.618235,5.27,74.5
Comoros,Africa,2002,62.974,614382,1075.811558,5.3,72.5
Comoros,Africa,2007,65.152,710960,986.1478792,5.11,67.9
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257,5.98,NA
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,905.8602303,5.98,NA
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,896.3146335,6.03,NA
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,861.5932424,6.14,NA
"Congo, Dem. Rep.",Africa,1972,45.989,23007669,904.8960685,6.27,145.9
"Congo, Dem. Rep.",Africa,1977,47.804,26480870,795.757282,6.44,137.1
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,673.7478181,6.69,129
"Congo, Dem. Rep.",Africa,1987,47.412,35481645,672.774812,6.96,122.9
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807,7.22,117.7
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,7.23,112.5
